10;263.72;0.51;30.85;2700450.11
20;263.72;0.47;44.08;5400900.21
30;263.72;0.34;47.08;8101350.32
40;263.72;0.54;48.69;10801800.43
50;263.72;0.20;49.28;13502250.54
10;263.72;0.51;30.37;2700450.11
20;263.72;0.50;43.30;5400900.21
30;263.72;0.36;46.85;8101350.32
40;263.72;0.43;48.45;10801800.43
50;263.72;0.24;49.36;13502250.54
10;263.72;0.51;30.43;2700450.11
20;263.72;0.50;43.61;5400900.21
30;263.72;0.45;46.98;8101350.32
40;263.72;0.34;48.51;10801800.43
50;263.72;0.27;49.38;13502250.54
10;263.72;0.51;31.74;2700450.11
20;263.72;0.53;43.43;5400900.21
30;263.72;0.45;47.27;8101350.32
40;263.72;0.40;48.54;10801800.43
50;263.72;0.29;49.59;13502250.54
10;263.72;0.51;30.75;2700450.11
20;263.72;0.50;43.94;5400900.21
30;263.72;0.33;46.88;8101350.32
40;263.72;0.40;48.65;10801800.43
50;263.72;0.47;49.59;13502250.54
10;263.72;0.51;30.14;2700450.11
20;263.72;0.50;43.98;5400900.21
30;263.72;0.35;46.84;8101350.32
40;263.72;0.37;48.33;10801800.43
50;263.72;0.31;49.44;13502250.54
10;263.72;0.51;30.06;2700450.11
20;263.72;0.46;43.04;5400900.21
30;263.72;0.23;46.52;8101350.32
40;263.72;0.23;48.32;10801800.43
50;263.72;0.21;49.39;13502250.54
10;263.72;0.51;29.43;2700450.11
20;263.72;0.37;42.65;5400900.21
30;263.72;0.38;47.29;8101350.32
40;263.72;0.48;48.63;10801800.43
50;263.72;0.42;49.46;13502250.54
10;263.72;0.51;31.69;2700450.11
20;263.72;0.37;42.75;5400900.21
30;263.72;0.38;47.17;8101350.32
40;263.72;0.28;48.56;10801800.43
50;263.72;0.26;49.41;13502250.54
10;263.72;0.51;29.76;2700450.11
20;263.72;0.50;43.59;5400900.21
30;263.72;0.59;46.94;8101350.32
40;263.72;0.44;48.57;10801800.43
50;263.72;0.39;49.50;13502250.54
10;263.72;0.51;30.77;2700450.11
20;263.72;0.47;43.01;5400900.21
30;263.72;0.62;47.43;8101350.32
40;263.72;0.38;48.37;10801800.43
50;263.72;0.30;49.48;13502250.54
10;263.72;0.51;32.12;2700450.11
20;263.72;0.50;43.28;5400900.21
30;263.72;0.43;46.89;8101350.32
40;263.72;0.31;48.58;10801800.43
50;263.72;0.22;49.23;13502250.54
10;263.72;0.51;31.66;2700450.11
20;263.72;0.57;43.76;5400900.21
30;263.72;0.36;46.72;8101350.32
40;263.72;0.36;48.61;10801800.43
50;263.72;0.33;49.38;13502250.54
10;263.72;0.51;32.44;2700450.11
20;263.72;0.44;44.00;5400900.21
30;263.72;0.50;46.81;8101350.32
40;263.72;0.44;48.77;10801800.43
50;263.72;0.24;49.28;13502250.54
10;263.72;0.51;29.28;2700450.11
20;263.72;0.37;42.68;5400900.21
30;263.72;0.40;47.13;8101350.32
40;263.72;0.22;47.81;10801800.43
50;263.72;0.34;49.55;13502250.54
10;263.72;0.51;30.58;2700450.11
20;263.72;0.57;44.58;5400900.21
30;263.72;0.45;47.02;8101350.32
40;263.72;0.44;48.68;10801800.43
50;263.72;0.27;49.54;13502250.54
10;263.72;0.51;29.65;2700450.11
20;263.72;0.47;43.27;5400900.21
30;263.72;0.36;46.78;8101350.32
40;263.72;0.42;48.50;10801800.43
50;263.72;0.30;49.20;13502250.54
10;263.72;0.51;29.73;2700450.11
20;263.72;0.47;43.51;5400900.21
30;263.72;0.45;46.84;8101350.32
40;263.72;0.36;48.54;10801800.43
50;263.72;0.38;49.33;13502250.54
10;263.72;0.51;29.72;2700450.11
20;263.72;0.54;43.66;5400900.21
30;263.72;0.31;46.52;8101350.32
40;263.72;0.34;48.42;10801800.43
50;263.72;0.47;49.61;13502250.54
10;263.72;0.51;29.66;2700450.11
20;263.72;0.47;44.01;5400900.21
30;263.72;0.33;46.63;8101350.32
40;263.72;0.47;48.65;10801800.43
50;263.72;0.37;49.53;13502250.54
